,DS_GENERO,VR_DESPESA_CONTRATADA,TOTAL_ELEITOS,MEDIA_GASTO
0,FEMININO,2349148.74,37,63490.50648648649
1,MASCULINO,10870747.110000005,127,85596.43393700791
