,DS_GENERO,VR_DESPESA_CONTRATADA,TOTAL_ELEITOS,MEDIA_GASTO
0,FEMININO,1239115.5899999987,345,3591.639391304344
1,MASCULINO,3481632.400000009,1233,2823.708353609091
