,DS_GENERO,VR_DESPESA_CONTRATADA,TOTAL_ELEITOS,MEDIA_GASTO
0,FEMININO,2812477.9600000004,37,76012.91783783786
1,MASCULINO,6846985.130000002,127,53913.268740157495
