,DS_GENERO,VR_DESPESA_CONTRATADA,TOTAL_ELEITOS,MEDIA_GASTO
0,FEMININO,6199303.319999994,345,17968.995130434763
1,MASCULINO,17916331.40999997,1233,14530.6824087591
